Graph 1 X	Graph 1 Y	Graph 2 X	Graph 2 Y	
89.2683	-15.4518	89.2683	-15.4518	
89.6342	-15.4568	89.6342	-15.4568	
90.0000	-15.4617	90.0000	-15.4617	
90.3659	-15.4667	90.3659	-15.4667	
90.7317	-15.4667	90.7317	-15.4667	
91.0976	-15.4667	91.0976	-15.4667	
91.4634	-15.4667	91.4634	-15.4667	
91.8293	-15.4667	91.8293	-15.4667	
92.1951	-15.4667	92.1951	-15.4667	
92.5610	-15.4667	92.5610	-15.4667	
92.9268	-15.4667	92.9268	-15.4667	
93.2927	-15.4667	93.2927	-15.4667	
93.6585	-15.4667	93.6585	-15.4667	
94.0244	-15.4667	94.0244	-15.4667	
94.3903	-15.4667	94.3903	-15.4667	
94.7561	-15.4667	94.7561	-15.4667	
95.1220	-15.4667	95.1220	-15.4667	
95.4878	-15.4667	95.4878	-15.4667	
95.8537	-15.4667	95.8537	-15.4667	
96.2195	-15.4667	96.2195	-15.4667	
96.5854	-15.4667	96.5854	-15.4667	
96.9512	-15.4667	96.9512	-15.4667	
97.3171	-15.4667	97.3171	-15.4667	
97.6829	-15.4667	97.6829	-15.4667	
98.0488	-15.4667	98.0488	-15.4667	
98.4146	-15.4667	98.4146	-15.4667	
98.7805	-15.4667	98.7805	-15.4667	
99.1464	-15.4667	99.1464	-15.4667	
99.5122	-15.4667	99.5122	-15.4667	
99.8781	-15.4667	99.8781	-15.4667	
100.2439	-15.4667	100.2439	-15.4667	
100.6098	-15.4667	100.6098	-15.4667	
100.9756	-15.4667	100.9756	-15.4667	
101.3415	-15.4667	101.3415	-15.4667	
101.7073	-15.4667	101.7073	-15.4667	
102.0732	-15.4667	102.0732	-15.4667	
102.4390	-15.4667	102.4390	-15.4667	
102.8049	-15.4667	102.8049	-15.4667	
103.1707	-15.4667	103.1707	-15.4667	
103.5366	-15.4667	103.5366	-15.4667	
103.9025	-15.4667	103.9025	-15.4667	
104.2683	-15.4667	104.2683	-15.4667	
104.6342	-15.4667	104.6342	-15.4667	
105.0000	-15.4667	105.0000	-15.4667	
105.3659	-15.4667	105.3659	-15.4667	
105.7317	-15.4667	105.7317	-15.4667	
106.0976	-15.4667	106.0976	-15.4667	
106.4634	-15.4667	106.4634	-15.4667	
106.8293	-15.4667	106.8293	-15.4667	
107.1951	-15.4667	107.1951	-15.4667	
107.5610	-15.4667	107.5610	-15.4667	
107.9268	-15.4667	107.9268	-15.4667	
108.2927	-15.4667	108.2927	-15.4667	
108.6585	-15.4667	108.6585	-15.4667	
109.0244	-15.4667	109.0244	-15.4667	
109.3903	-15.4667	109.3903	-15.4667	
